Pseudo,Score,Date
Poule,8000,2023-01-17
Joueurdeux,6656,2023-01-17
Null,0,2023-01-17
Joueurun,0,2023-01-17
null,null,null
null,null,null
null,null,null
null,null,null
null,null,null
null,null,null
